,Entrevistador:,Data de Preenchimento:,Número do formulário:,Sexo:,Idade:,Quantos televisores em cores você possui?,Quantos rádio você possui?,Quantos banheiro tem a casa?,Quantos automóveis você possui?,Possui empregada mensalista?,Quantas máquina de lavar você possui?,Quantos videocassete e/ou DVD você possui?,Quantas geladeira você possui?,Quantos freezer (aparelho independente ou parte da geladeira duplex) você possui?,Grau de Instrução do chefe de família (entre parênteses nomenclatura atual) – escolha apenas uma alternativa:
31,Caio Morcelli,17/12/14 02:22 PM,46,"""Feminino""",40,"""2""","""1""","""1""","""0""","""0""","""1""","""1""","""1""","""0""","""Ginasial completo / Colegial incompleto (Fundamental completo) """
32,Caio Morcelli,17/12/14 02:43 PM,47,"""Feminino""",40,"""2""","""1""","""1""","""0""","""0""","""2""","""1""","""1""","""1""","""Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)"""
33,Caio Morcelli,17/12/14 03:10 PM,48,"""Feminino""",36,"""2""","""1""","""1""","""1""","""0""","""1""","""1""","""1""","""0""","""Ginasial completo / Colegial incompleto (Fundamental completo) """
34,Caio Morcelli,17/12/14 03:27 PM,49,"""Feminino""",27,"""1""","""1""","""1""","""0""","""0""","""1""","""1""","""1""","""1""","""Colegial completo / Superior incompleto (Médio completo)"""
35,Caio Morcelli,17/12/14 03:47 PM,50,"""Masculino""",40,"""2""","""1""","""2""","""1""","""1""","""1""","""1""","""1""","""1""","""Colegial completo / Superior incompleto (Médio completo)"""
36,Caio Morcelli,17/12/14 04:05 PM,51,"""Masculino""",56,"""1""","""0""","""1""","""0""","""0""","""1""","""1""","""1""","""0""","""Colegial completo / Superior incompleto (Médio completo)"""
37,Caio Morcelli,17/12/14 05:00 PM,52,"""Feminino""",21,"""3""","""1""","""1""","""0""","""0""","""1""","""1""","""1""","""0""","""Ginasial completo / Colegial incompleto (Fundamental completo) """
38,Caio Morcelli,18/12/14 03:14 PM,53,"""Masculino""",37,"""2""","""1""","""1""","""0""","""0""","""1""","""2""","""1""","""0""","""Ginasial completo / Colegial incompleto (Fundamental completo) """
39,Caio Morcelli,18/12/14 04:03 PM,54,"""Feminino""",18,"""1""","""1""","""1""","""0""","""0""","""1""","""0""","""1""","""1""","""Colegial completo / Superior incompleto (Médio completo)"""
40,Caio Morcelli,18/12/14 04:43 PM,55,"""Feminino""",79,"""1""","""1""","""1""","""1""","""0""","""1""","""0""","""1""","""0""","""Primário completo / Ginasial incompleto (Até 4a. Série do Fundamental)"""
41,Caio Morcelli,18/12/14 05:01 PM,56,"""Feminino""",44,"""1""","""1""","""1""","""0""","""0""","""0""","""1""","""0""","""0""","""Colegial completo / Superior incompleto (Médio completo)"""
